"Date","10","20","30","40","50","60","70","80","90"
"2022-01-10","338","340","342","344","346","347","349","350","353"
"2022-01-11","360","363","366","368","370","373","375","378","382"
"2022-01-12","383","388","392","395","397","400","403","406","411"
"2022-01-13","409","415","419","423","426","430","433","438","444"
"2022-01-14","436","443","448","453","457","461","466","471","479"
"2022-01-15","465","473","480","485","491","496","502","508","517"
"2022-01-16","493","505","513","520","526","533","540","548","559"
"2022-01-17","525","539","549","557","565","573","582","591","605"
"2022-01-18","557","574","586","596","606","616","626","639","656"
"2022-01-19","591","611","626","639","650","662","675","690","712"
"2022-01-20","626","650","668","684","698","712","727","747","773"
"2022-01-21","663","691","713","732","748","766","784","808","841"
"2022-01-22","701","735","761","782","803","823","846","875","915"
"2022-01-23","742","780","811","836","860","886","913","947","995"
"2022-01-24","784","829","865","895","923","953","985","1027","1084"
"2022-01-25","828","879","921","956","990","1025","1063","1114","1182"
"2022-01-26","875","933","981","1022","1061","1103","1147","1207","1289"
"2022-01-27","923","990","1044","1091","1138","1186","1239","1309","1405"
"2022-01-28","973","1049","1112","1167","1221","1276","1341","1419","1534"
"2022-01-29","1024","1113","1184","1246","1309","1374","1449","1542","1678"
"2022-01-30","1078","1180","1260","1332","1404","1481","1568","1672","1831"
"2022-01-31","1134","1250","1341","1424","1506","1593","1695","1816","2001"
"2022-02-01","1194","1324","1426","1524","1618","1716","1834","1972","2187"
"2022-02-02","1260","1401","1517","1626","1737","1848","1986","2143","2397"
"2022-02-03","1325","1483","1614","1737","1864","1992","2150","2333","2625"
"2022-02-04","1392","1568","1714","1857","2000","2147","2325","2539","2874"
"2022-02-05","1460","1657","1822","1984","2142","2311","2516","2763","3154"
"2022-02-06","1529","1749","1938","2117","2300","2491","2720","3004","3460"
