"Date","10","20","30","40","50","60","70","80","90"
"2021-04-27","3","4","5","5","6","6","7","7","8"
"2021-04-28","3","4","5","6","6","7","8","8","10"
"2021-04-29","3","5","6","6","7","8","9","10","11"
"2021-04-30","3","5","6","7","8","9","10","11","13"
"2021-05-01","4","6","7","8","9","10","12","13","15"
"2021-05-02","4","6","8","9","11","12","14","15","18"
"2021-05-03","4","7","9","11","12","14","16","18","21"
"2021-05-04","4","7","10","12","14","16","18","21","26"
"2021-05-05","4","8","11","13","16","18","21","26","32"
"2021-05-06","5","8","12","15","18","21","25","31","40"
"2021-05-07","4","9","13","16","20","24","30","38","51"
"2021-05-08","4","9","14","18","22","28","35","46","66"
"2021-05-09","4","10","15","20","25","32","42","57","86"
"2021-05-10","4","10","16","21","28","37","51","71","114"
"2021-05-11","4","10","17","23","32","43","61","88","151"
"2021-05-12","4","10","17","25","35","50","73","112","199"
"2021-05-13","3","10","18","28","40","58","88","142","263"
"2021-05-14","3","10","19","30","45","68","107","181","351.1"
"2021-05-15","3","10","19","32","51","80","132","230","480"
"2021-05-16","2","10","20","35","57","94","159","294","653.1"
"2021-05-17","2","10","20","38","64","110","196","375.200000000001","889.1"
"2021-05-18","2","10","21","41","72","129.4","239","482","1216.2"
"2021-05-19","2","10","21","44","82","151","293.300000000001","622","1677"
"2021-05-20","1","9","21","47","92","179","358.300000000001","805","2302.2"
"2021-05-21","1","9","22","50","103","210","442","1041.6","3179.8"
"2021-05-22","1","9","22","54","116","249","553","1352","4413.1"
"2021-05-23","1","8","22","57.6000000000004","129","296","690","1756.6","6126.30000000001"
"2021-05-24","0","8","22","61","145","344.4","856","2303","8732.4"
