"Date","10","20","30","40","50","60","70","80","90"
"2021-04-27","17","18","19","20","20","21","22","23","24"
"2021-04-28","16","18","20","21","22","23","24","25","27"
"2021-04-29","17","19","21","22","24","25","26","28","30"
"2021-04-30","17","20","22","24","25","27","28","30","33"
"2021-05-01","18","21","23","25","27","29","31","33","36"
"2021-05-02","18","22","25","27","29","32","34","36","40"
"2021-05-03","19","23","27","29","32","34","37","40","44"
"2021-05-04","19","25","28","31","34","37","40","44","48"
"2021-05-05","20","26","30","34","37","40","44","48","53"
"2021-05-06","20","27","32","37","40","44","48","53","59"
"2021-05-07","20","28","34","39","44","49","53","59","66"
"2021-05-08","20","29","36","42","48","53","59","65","74"
"2021-05-09","21","29","37","44","52","59","66","73","83"
"2021-05-10","20","30","39","47","56","64","73","82","94"
"2021-05-11","20.9000000000001","31","40","49","60","71","81","93","108"
"2021-05-12","20","31","41","52","64","77","90","105","124"
"2021-05-13","20","32","42","54","69","84","100","119","142.1"
"2021-05-14","20","32","43","57","73","91","111","135","165"
"2021-05-15","20","33","45","59","78","99","124","152","190.1"
"2021-05-16","20","34","46","61","82","108","138","173","223"
"2021-05-17","20","34","47.7000000000003","64","87","116","153","197","260"
"2021-05-18","21","34","49","66","92","126","171","224","305"
"2021-05-19","21","35","50","69","97","136","190","255","358"
"2021-05-20","20","35","52","72","103","147","210","289","419"
"2021-05-21","21","36","53","75","109","159","233","327","495.1"
"2021-05-22","20.9000000000001","37","54","78","114","171","256","370","577.1"
"2021-05-23","20","37","56","81","120","184","283","422","684"
"2021-05-24","20","38","57","84","127","197","312","479","805.1"
